;LON;LAT;alt1mean;amplb7mean;amplc7mean;cosin7mean;encais7mean;orien7mean;pente7mean;rugos7mean;sinus7mean;DISTANCE_C;ARatio;BATI;INFRA;SURFACEARTIF;FORET+EAU;GRANDECULTURE;VEGETATIONBASSE
S01;5.041254685;47.32152646;244;0;33;-86;210;0;4.0;0;-50;0.0;2.34476386554777;56.97112877880739;9.101140968798656;28.910056562997806;4.332660906086725;0.0;0.6850127833094208
S02;5.03869264;47.31824795;241;0;39;-86;210;0;3.0;0;-50;412.76300000000003;1.5004429029795199;46.86355887705266;7.576585843037684;30.22794133513634;12.127500413588727;0.0;3.20441353118459
S03;5.044427261;47.32705576;247;0;28;-100;180;0;3.0;0;0;659.8589999999999;0.8534121172133221;34.587584498089456;12.02582931475966;37.22237628255225;12.349596101833479;0.0;3.814613802765163
S04;4.97943466;47.36540438;428;30;10;-97;167;0;5.0;3;22;6754.314;0.0134584494246179;1.7969743129904316;1.181177504330384;7.233271753652468;35.26787161176712;35.58621335378787;18.934491463471726
S05;5.039005715;47.31540771;239;0;39;-20;258;0;4.0;1;-97;701.192;0.762446369323902;34.75971650004321;8.51040076060964;35.88262410325852;16.79391512287879;0.0;4.05334351320983
S06;5.046948783;47.31923786;242;0;29;-92;157;0;3.0;0;39;500.048;1.0016089098739398;39.892801347722475;8.45026313705445;33.51271769101734;15.13056061511436;0.0;3.013657209091367
S07;5.038402665;47.32873143;248;0;33;-15;99;0;4.0;1;98;829.534;0.8968400973634749;38.36113830032243;8.986714071856287;33.518539843390144;14.248546176877014;0.0;4.885061607554123
S08;5.029486102;47.32635146;258;6;35;-75;139;0;6.0;2;65;1038.859;0.888023284286657;33.85490088897839;9.995972266175666;34.19186397767485;17.770217785321787;0.0;4.1870450818493055
S09;5.048545153;47.31420539;238;0;29;-100;180;0;4.0;0;0;983.0039999999999;0.530416295720604;33.1771797290777;8.385124478787835;37.257217753260505;14.414622026660137;0.0;6.765856012213828
S10;5.039235204;47.33346631;250;2;36;-19;101;0;6.0;1;98;1336.1879999999999;0.523295729654631;28.572251152513218;8.51258317708577;36.802689017565704;17.585498306768248;0.0;8.526978346067061
S11;5.02480281;47.33400581;277;9;35;0;270;0;5.0;1;-100;1863.183;0.32109852253032894;18.790467204909;8.891441658804295;31.39498872860055;29.95995592270629;0.0;10.96314648497987
S12;5.019971345;47.31206315;240;0;54;32;71;0;4.0;1;94;1922.558;0.35707598323720796;23.320720208242577;8.335823555461147;33.59711686282416;21.504358188750437;0.0;13.241981184721677
S13;5.01742076;47.28996479;251;2;42;96;344;0;5.0;1;-27;3944.745;0.19548517726043602;28.46524491692055;6.694972018754997;53.53960948697449;2.933529238060255;0.0;8.366644339289701
S14;5.011467472;47.280277500000004;259;4;45;32;71;0;3.0;1;94;5109.36;0.149766620916908;21.39007204553883;7.987657565861721;47.94430782635621;7.0698960542375815;0.0;15.608066508005662
S15;5.096754865;47.31065151;231;3;15;-37;112;1;5.0;1;92;4366.872;0.139824257907798;25.449713155932972;7.886141091988173;50.232824468717254;6.682584441635425;0.0;9.748736841726178
S16;5.065587384;47.34446203;255;10;20;98;349;0;6.0;2;-19;3143.9509999999996;0.17722171755434699;32.35440248855094;5.537313862726461;48.9562631412195;4.271796422708028;0.0;8.880224084795069
S17;5.0364397169999995;47.28880224;236;0;28;98;11;0;4.0;1;19;3656.349;0.13477636508356097;27.824370991613222;3.3485896600275837;42.14671280775228;10.447282849416094;3.2596444351618117;12.973399256029008
S18;5.057021193;47.35736496;266;8;26;-32;109;0;5.0;3;94;4158.778;0.0299467425447003;6.549076661577022;12.144925239837516;48.97258794042234;21.97070093054075;0.0;10.362709227622368
S19;5.085460018;47.33285524;248;5;11;97;13;0;7.0;2;22;3570.991;0.19476244234444898;16.710363306347055;7.345357111988244;30.047682157365525;26.295773430522345;0.0;19.60082399377683
S20;5.119674858;47.313065;216;0;17;100;0;0;6.0;0;0;6026.798000000001;;0.0;0.4230560126160704;1.1139874919439332;0.5033466430955458;97.51711126553155;0.44249858681289406
S21;5.11101113;47.27793824;218;1;8;-96;195;0;3.0;0;-25;7163.53;0.165622408873169;15.130650226153092;6.769107775633085;29.41214600558901;24.089985883437524;0.0;24.598110109187292
S22;5.056703537;47.28517358;228;0;16;100;0;0;4.0;1;0;4207.071;0.0950354519003111;9.817976282194365;8.177746736461627;26.61880863748623;36.702476184990246;0.0;18.68299215886754
S23;5.007942319;47.34246169;295;0;53;-20;102;-1;8.0;3;97;3428.8520000000003;0.14459491896879598;12.884697103923138;6.5923381085110515;20.841526040203682;38.64400798023667;0.0;21.03743076712546
S24;5.019443052;47.33412782;279;9;39;-45;117;-1;4.0;2;89;2163.5789999999997;0.255732264090421;18.17671607425529;7.3935098575334575;33.22276586559217;30.524895668441506;0.0;10.682112534177579
S25;5.0046106980000005;47.31166333;267;0;59;-1;91;0;10.0;5;99;2979.6040000000003;0.167906666220126;13.409756150248603;6.478417874874438;26.301786119321847;34.37982668053991;0.0;19.43021317501521
S26;4.999183598;47.27970292;274;2;58;1;89;0;4.0;1;99;5634.209;0.24061047768355304;15.646692013018809;7.4613324116478;34.86995593191048;14.468302658486706;0.0;27.553716984936198
S27;5.017857791;47.31546661;240;0;58;70;45;0;4.0;0;70;1892.829;0.33517759285263693;22.074922562750253;7.622847316408063;32.529041217122895;23.995294405451006;0.0;13.777894498267779
S28;4.993447375;47.31672496;346;42;27;45;63;4;12.0;8;89;3653.534;0.142067823974039;14.381689943078102;5.081206412984385;23.95832208216771;33.212720837878805;0.0;23.366060723890993
S29;5.071035864;47.31042856;253;11;8;-100;180;0;5.0;2;0;2567.54;0.13548766853796199;11.840115232265035;6.535830032409075;34.93266114512063;22.400072020165645;0.0;24.29132157003961
S30;5.00140075;47.31874067;258;0;73;57;55;-1;11.0;10;81;3028.855;0.317541683910878;16.829747006392363;9.204285585666696;34.95453317727559;30.027910326820923;0.0;8.983523903844423
S31;5.070123478;47.33429924;275;20;3;-100;180;1;7.0;2;0;2603.538;0.13940376163032;12.334746235761438;8.163743027020407;29.722809431033674;30.671026617065028;0.0;19.10767468911945
S32;5.065194764;47.32399943;259;8;10;91;336;0;5.0;5;-40;1830.557;0.139206183537983;11.34427906206221;6.645586715309014;27.537427117508724;45.12826238056995;0.0;9.344444724550101
S33;5.097910335;47.35001042;223;1;30;32;71;0;5.0;1;94;5325.729;0.00496573121187017;0.6251575497857322;0.830062299686701;1.9341711980985992;5.9325146746371855;64.47369368720516;26.204400590586623
S34;5.1725106830000005;47.27844659;205;2;7;-92;202;0;4.0;0;-37;11021.809;0.0683084938623986;6.8082133571485155;3.642858686179752;25.223807500342105;15.51780016853083;26.347346359662073;22.459973928136726
S35;5.075019462;47.26061644;220;1;10;-100;180;0;;0;0;7237.394;0.100893532993951;11.645803923828181;4.1125291694275585;20.43912592549912;24.490795425081384;21.25839071187808;18.053354844285675
S36;5.062105873999999;47.23477929;230;12;2;10;84;-1;6.0;1;99;9772.408000000001;0.0572479978173117;7.203252500954288;5.484814219968743;23.05595367562857;11.067577981519227;40.50609663874625;12.682304983182929
S37;5.004533436;47.3526204;332;9;32;-42;115;0;4.0;1;90;4433.116;0.0841297513821553;8.419972270738427;3.775861137619965;15.16070367502746;17.802906170661;22.958748221906117;31.881808524047035
S38;5.005948723;47.26066151;249;0;58;-88;152;0;4.0;1;46;7274.69;0.0432243230108507;4.461170030790284;1.9777805787132903;14.040729603687632;11.135279183247205;46.86857410375065;21.51646649981094
S39;4.914887;47.277974;496;44;56;-99;181;6;13.0;6;-1;10713.728000000001;0.0466077528424701;4.045980488542691;1.7095032825199956;23.970498734168096;16.534681633373307;53.42530871533368;0.3140271460622365
S40;5.02103938;47.36746295;281;2;59;22;77;-1;7.0;6;97;5330.670999999999;0.173310255962854;13.838602455282386;5.8792813491449;21.14070878363049;24.415979141983602;10.807852006035573;23.91757626392305
S41;5.007082685;47.32543436;245;3;71;-57;235;-3;13.0;8;-81;2619.5389999999998;0.0367474030754279;3.5742066521657714;6.630918598118725;19.095086501202807;58.15063165324613;0.0;12.549156595266561
S42;5.027631536;47.31496173;237;0;47;-100;180;0;3.0;0;0;1262.3319999999999;0.23697489512537398;10.961097081021967;10.751365235597573;30.62660536596948;40.270672796736385;0.0;7.390259520674595
S43;5.042423034;47.29827588;230;0;34;-100;180;0;5.0;0;0;2586.436;0.0639968350613602;6.421849847124536;2.9757596055849063;22.84920969327672;53.94253035001098;0.0;13.810650504002853
S44;4.954872494;47.327695299999995;395;76;26;93;340;3;12.0;9;-34;6565.904;0.0065404455452917;0.7785856534249486;0.9654894249918071;5.561737664891261;29.034186464421662;54.327056391640824;9.332944400629495
S45;5.000298633;47.29619091;281;2;54;-19;101;-2;12.0;11;98;4186.299;0.0768109568545029;6.275896080894768;2.7398098584197585;18.815808893672628;34.783813847001184;0.013679250377079337;37.37099206963458
S46;5.028617713;47.3238976;251;4;40;-98;170;0;5.0;4;17;991.02;0.5767893855645351;29.627405574892844;13.000891752725598;36.59494289905935;16.649886373443028;0.0;4.126873399879182
S47;5.028738587;47.323297499999995;247;2;42;-99;174;0;5.0;3;10;966.453;0.514152317427214;28.537052956431346;12.22893234683711;36.37566946381748;18.103308742864748;0.0;4.755036490049313
S48;5.006511636;47.2976774;264;0;50;-27;106;0;4.0;2;96;3732.558;0.247518782863345;17.064782503790294;10.205162001274836;38.453560354793055;18.290640766629572;0.0;15.985854373512243
S49;5.0499918180000005;47.36610337;307;30;14;-70;225;1;6.0;1;-70;4999.737;0.118823989217161;12.024179408619764;7.019445054490076;46.99179498626497;12.010858412209233;9.709206248627398;12.244515889788556
S50;4.954934494;47.34133127;251;0;143;-95;162;-6;15.0;9;30;6885.979;0.0073719573537649906;0.7242044914363089;3.1272957750536583;10.701372783451694;66.7499747914896;9.276731824664006;9.420420333904726
